bodyType,brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,price
купе,AUDI,коричневый,бензин,2011,2,2014,вариатор,1.8 LTR,170 N12,1295000
внедорожник 5 дв.,AUDI,белый,дизель,2015,5,2015,автоматическая,3.0 LTR,249 N12,2935000
хэтчбек 5 дв.,KIA,красный,бензин,2019,5,2019,автоматическая,1.6 LTR,123 N12,1735000
хэтчбек 5 дв.,DONGFENG,серый,бензин,2011,5,2014,автоматическая,1.6 LTR,117 N12,545000
хэтчбек 5 дв.,VAZ,зелёный,бензин,2007,5,2012,механическая,1.6 LTR,98 N12,320000
седан,BMW,серый,бензин,2011,4,2015,автоматическая,2.0 LTR,184 N12,1499000
внедорожник 5 дв.,KIA,белый,бензин,2012,5,2017,автоматическая,2.4 LTR,175 N12,2098000
седан,TOYOTA,чёрный,бензин,2017,4,2020,автоматическая,2.5 LTR,181 N12,2500000
внедорожник 5 дв.,KIA,белый,дизель,2017,5,2019,автоматическая,2.2 LTR,200 N12,2789000
внедорожник 5 дв.,NISSAN,серый,бензин,2013,5,2018,вариатор,2.0 LTR,144 N12,1999990
седан,KIA,чёрный,бензин,2017,4,2019,автоматическая,1.6 LTR,123 N12,1149000
седан,VAZ,коричневый,бензин,2013,4,2017,механическая,1.6 LTR,87 N12,439990
внедорожник 5 дв.,BMW,белый,бензин,2014,5,2016,автоматическая,2.0 LTR,184 N12,2634000
внедорожник 5 дв.,SKODA,коричневый,бензин,2017,5,2020,автоматическая,1.4 LTR,150 N12,2050000
седан,RENAULT,белый,бензин,2012,4,2017,механическая,1.6 LTR,82 N12,679000
внедорожник 5 дв.,MERCEDES,чёрный,бензин,2015,5,2016,автоматическая,4.0 LTR,422 N12,5694000
минивэн,VOLKSWAGEN,белый,дизель,2009,4,2014,механическая,2.0 LTR,102 N12,1390000
седан,AUDI,белый,бензин,1986,4,1987,механическая,1.8 LTR,88 N12,207000
фастбек,MATRA,красный,бензин,1980,3,1983,механическая,2.2 LTR,118 N12,2500000
купе,BMW,серый,бензин,2011,2,2012,автоматическая,4.4 LTR,407 N12,2125000
внедорожник 5 дв.,KIA,серый,бензин,2012,5,2015,автоматическая,2.4 LTR,175 N12,1499000
внедорожник 5 дв.,LEXUS,чёрный,бензин,2003,5,2003,автоматическая,3.3 LTR,230 N12,630000
внедорожник 5 дв.,RENAULT,коричневый,бензин,2013,5,2014,механическая,2.5 LTR,171 N12,1080000
внедорожник 5 дв.,AUDI,серый,дизель,2019,5,2020,автоматическая,4.0 LTR,422 N12,13986400
седан,KIA,белый,бензин,2020,4,2021,автоматическая,1.6 LTR,123 N12,1199000
седан,VOLKSWAGEN,белый,бензин,2014,4,2020,автоматическая,1.6 LTR,110 N12,1185000
